######################################
# Bloody Rally Show translations file 
# Locale: Dutch
# Translator: Danny Houtworm
# Contact: Translations@Houtworm.net
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicolas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Bert Bruut
cut.rew.pun.part.4,Doe dit en {0}, Maar er is ook een straf als je faalt. in dat geval {1}!
cut.rew.pun.part.5,Als dit doet {0}. Maar denk niet dat ik je vergeef als je faalt dan {1}!
cut.rew.pun.part.6,{0}. Maar laat me niet in de steek anders {1}!
cut.rew.pun.part.7,Voor je moeite {0}. Maar als je faalt {1}!
cut.rew.pun.part.8,Voor dit, {0}, Maar als je het niet doet {1}.
cut.rew.pun.part.9,Bij success {0}, Maar als je me weer teleurstelt dan {1}!

# Rewards told by government agent. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
# {0} will be a number
cut.rew.gov.cash.1,krijg je ${0}
cut.rew.gov.cash.2,zul je ${0} krijgen
cut.rew.gov.cash.3,geven we jou ${0}
cut.rew.gov.cash.4,betalen we jouw ${0}
cut.rew.gov.cash.5,geef ik ${0} aan jouw
cut.rew.gov.car,zal ik persoonlijk een nieuwe auto voor je kopen
cut.rew.gov.pts,zal ik met de statistieken prutsen en krijg je {0} extra punten voor deze race
cut.rew.gov.rnd,zal er een leuke verassing voor je wezen
cut.rew.gov.aero,zullen mijn monteurs jouw aerodynamica opwaarderen
cut.rew.gov.turbo,zullen mijn monteurs jouw turbo vervangen met een grotere
cut.rew.gov.engine,zullen mijn monteurs jouw motor opvoeren voor wat extra paardenkracht
cut.rew.gov.gears,zullen mijn monteurs jouw versnellingsbak verbeteren
cut.rew.gov.grip,zullen mijn monteurs jouw banden vervangen voor meer grip
cut.rew.gov.none,absoluut helemaal niks, hahahahaha!

# Rewards told by other racer. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
# {0} will be a number
cut.rew.racer.cash.1,mijn appeltje voor de dorst van ${0} voor jouw wezen
cut.rew.racer.cash.2,geef ik jouw voedselbonnen ter waarde van ${0}
cut.rew.racer.cash.3,geef ik jouw de inhoud van mijn broekzak, en dat is zo'n ${0}
cut.rew.racer.cash.4,leen ik ${0} van de bank jouw aan jou te geven
cut.rew.racer.cash.5,geef ik je ${0}
cut.rew.racer.car,mag je van mij mijn splik splinter nieuwe auto hebben
cut.rew.racer.pts,heb ik een vriend die met het scorebord kan knoeien en krijg je {0} extra punten voor deze race
cut.rew.racer.rnd,maak ik het je tijd waard
cut.rew.racer.aero,ik heb een idee hoe je de aerodynamica kan verbeteren met wat duct tape en WD-40
cut.rew.racer.turbo,zal ik je turbo polijsten
cut.rew.racer.engine,vervang ik je motor met een betere motor
cut.rew.racer.gears,installeer ik een betere versnellingsbak voor je
cut.rew.racer.grip,wissel ik je banden voor je zodat je betere grip krijgt
cut.rew.racer.none,krijg je lekker helemaal niks

# Punishments told by government agent. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
cut.punish.gov.cash.1,verlies je ${0}
cut.punish.gov.cash.2,moet je ons ${0} betalen
cut.punish.gov.cash.3,gaat je autoverzekering omhoog met ${0}
cut.punish.gov.cash.4,pak ik ${0} van je bankrekening
cut.punish.gov.cash.5,moet je ${0} betalen voor 100 diamantjes in dit nieuwe telefoonspelletje dat ik net heb gedownload
cut.punish.gov.car,Blaas ik je autos in duizenden stukjes met mijn voetgangerkannon tot geen monteur er ooit weer een auto van kan maken
cut.punish.gov.pts,draai ik dit database script dat je {0} punten laat verliezen
cut.punish.gov.rnd,doe ik iets zo naars dat het voorpagina nieuws wordt, en geloof me, jouw foto zal daar staan
cut.punish.gov.aero,vraag ik mijn monteurs om {0} in de grill van je auto te stoppen, dit zal de aerodynamica zeker slechter maken
cut.punish.gov.turbo,stop ik persoonlijk {0} in je turbo
cut.punish.gov.engine,sleutel ik een paar willekeurige onderdelen van je motor
cut.punish.gov.gears,vervangen we je versnellingsbakvloeistof met {0} om je schakelen moeilijker te maken
cut.punish.gov.grip,zal ik de monteur vragen om {0} op je banden te smeren zodat je grip verliest
cut.punish.gov.none,zal er niks slechts gebeuren

# Punishments told by other racer. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
cut.punish.racer.cash.1,zal je ${0} aan riskante TSLA aandelen moeten shorten
cut.punish.racer.cash.2,zul je me ${0} moeten betalen
cut.punish.racer.cash.3,Moet je me of ${0} geven of dat mooie horloge dat je om hebt
cut.punish.racer.cash.4,zal ik brandstof uit je tank stelen ter waarde van ${0}
cut.punish.racer.cash.5,moet je 100 diamantjes voor mij kopen in dit nieuwe telefoonspelletje dat ik net heb gedownload, het kost je slechts ${0}
# "Lionard 125" should not be translated, it's a model name of cheapest car in the game
cut.punish.racer.car,zul je met mij moeten ruilen van auto. ik heb momenteel een oude afgeragde Lionard 125, de lokale sloop blijft er maar naar vragen
cut.punish.racer.pts,heb ik een hacker vriend die {0} punten van je score zal laten verdwijnen
cut.punish.racer.rnd,zal ik het wiel van onfortuin draaien en het resultaat uitvoeren op jouw of je auto
cut.punish.racer.aero,zal ik {0} in je grill steken om je aerodynamica te degraderen
cut.punish.racer.turbo,stop ik {0} in je turbo
cut.punish.racer.engine,vul ik je motor af met {0}
cut.punish.racer.gears,vervang ik je versnellingsbak olie met {0} om je versnellingsbak te laten plakken
cut.punish.racer.grip,ga ik je banden laten weken in {0} Dat zal er zeker voor zorgen dat je grip verliest
cut.punish.racer.none,dan zal er niks slechts gebeuren

### Shield mission cutscene

cut.shield.req,Hier heb je een krachtveld, en wat extra batterijen er voor. Je mag me later wel bedanken.
cut.shield.intro.1,Ik zie dat het niet zo goed met je gaat dit seizoen. Ik zal je wel een beetje helpen in de volgende race.
# {0} will be a plural insult
cut.shield.intro.2,Ziet er naar uit dat de andere {0} je de hele tijd aan het pesten zijn, hier heb je iets om het wat eerlijker te maken.

cut.shield.descr,Voltooi de race met je krachtveld
cut.shield.tip,Onthoud Newtons derde wet

### Make car come last 

# {0} - clown
cut.finlast.req,Ik ga je een wapen geven en een doelwit markeren op je scherm, laat zien wat een {0} het is!
# {0} - player name, {1} - vegan burger
cut.finlast.racer.intro.1,Hey, {0}! Ik moet je om een gunst vragen. Een van de racers heeft een {1} in mijn uitlaat gestopt vannacht, en ik wil wraak!
# {0} - player name, {1} - vegan olive oil
cut.finlast.racer.intro.2,{0}, wacht. Ik heb wat hulp nodig, een van onze racers heeft {1} over mijn stuur gesmeert, en ik wil wraak!

# {0} - vegan olive oil
cut.finlast.gov.intro.1,Je gaat het niet geloven. Een van die clown vriendjes van jouw is in mijn kantoor geglipt en heeft mijn complete toetsenbord ingesmeerd met {0}! Ik wil dat je hem laat zien wat er gebeurt als je met SOFACT grapt.
# {0} - clown
cut.finlast.gov.intro.2,Luister, Er is een {0} die ik echt niet mag. Laten we zijn leven een hel maken.

cut.finlast.tip,Doelwit zal worden gemarkeerd.

# {0} - name, {1} - position number
cut.finlast.descr,Wees zeker dat {0} laatste eindigt, of tenminste onder positie {1} 

### Assassinate mission cutscene (the most complex one)

# {0} is a singular noun defining a person
# {1} is part of sentence telling what the person did
# {2} is the second part telling what the person did
# {3} is the third part with circumstances
cut.ass.beg1.1,Je hebt die {0} die {1} {2}, {3}
cut.ass.beg1.2,Hoe leg ik dit uit, een {0} {1} {2}, {3}
cut.ass.beg1.3,Laat me het uitleggen. {0} {1} {2}, {3}

# Same as beg1, but for 2 people
cut.ass.beg2.1,een paar genaamd {0} {1} {2}, {3}
cut.ass.beg2.2,Hoe leg ik dit netjes uit. twee genaamd {0} {1} {2}, {3}

# Same as beg1 & beg2, but for 3+ people
cut.ass.beg3.1,Er zijn deze {0} {1} {2}, {3}
cut.ass.beg3.2,Hoe leg ik dit netjes uit. Het stelletje {0} {1} {2}, {3}

# Endings for singular target
cut.ass.end1.1,Je zal details vinden over zijn locatie in je boordcomputer wanneer je de rast start.
# {0} - singular insult (i.e. clown)
cut.ass.end1.2,schakel dat excuus van een {0} voor me uit, oke?
cut.ass.end1.3,Zorg ervoor dat die de onderkant van je auto even goed inspecteerd.
cut.ass.end1.4,Zorg ervoor dat die *splet* doet, oke?
cut.ass.end1.5,Rem niet als die voor je auto komt.
# {0} - singular insult (i.e. clown)
cut.ass.end1.6,Ik wil een {0} op een stretcher zien.
cut.ass.end1.7,Geef diegene een gratis ritje op je moterkap.
cut.ass.end1.8,Je begrijpt wat ik bedoel, toch?

# Endings for two targets
cut.ass.end2.1,Je zult details vinden over hun locaties in je boordcomputer wanneer je de race start.
# {0} - plural insult (i.e. clowns)
cut.ass.end2.2,Schakel een stelletje {0} voor me uit, oke?
cut.ass.end2.3,Zorg ervoor dat ze de onderkant van je auto inspecteren.
cut.ass.end2.4,Zorg ervoor dat ze *splet* zeggen, oke?
cut.ass.end2.5,Laat ze vliegen.
# {0} - curse adjective (i.e. friggin strecher)
cut.ass.end2.6,Ik wil dat ze beide worden weggedragen op een {0} stretcher.
cut.ass.end2.7,Geef ze een gratis ritje op je motorkap.

# Endings for three+ targets
# end3.1 is used as end2.1
# {0} - plural insult (i.e. clowns)
cut.ass.end3.2,Schakel al die {0} voor me uit, oke?
# {0} - plural insult (i.e. clowns)
cut.ass.end3.3,Vind ze allemaal, en laat die {0} de onderkant van je auto inspecteren.
# {0} - plural insult (i.e. clowns)
cut.ass.end3.4,Zorg dat al die {0} *splat* zeggen, oke?
# end3.5 is used as end2.5
# {0} - plural insult (clowns) {1} - curse adjective (i.e. friggin strecher)
cut.ass.end3.6,Ik wil dat al die {0} weggedragen worden op een {1} stretcher.
# {0} - plural insult (i.e. clowns)
cut.ass.end3.7,Geef al die {0} een gratis ritje op je motorkap.

# Mid sentences for 1 target
# {0} is some randomized person name
cut.ass.mid1.1,Zijn naam is {0}.
# {0} is some randomized person name (repeated twice in this sentence), {1} - curse adjective
# Example: John Smith. Friggin John Smith.
cut.ass.mid1.2,{0}.{1} {0}.
cut.ass.mid1.3,Hij is {0}.
# {1} will be insult singular, i.e. clown
cut.ass.mid1.4,Ik heb een {1} gevonden, het is {0}.
# {1} will be insult singular, i.e. clown
cut.ass.mid1.5,{0}. Ik haat het {1}tje zo erg.

# Mid sentences for 2+ targets
# {0} will be plural insult (clowns), {1} will be a curse adjective (friggin)
cut.ass.mid2.1,Ik weet wie die {1} {0} zijn.
# {0} will be plural insult (clowns), {1} will be a curse adjective (friggin)
cut.ass.mid2.2,Die {1} {0}.
cut.ass.mid2.3,{0}!
# {0} will be plural insult (clowns)
cut.ass.mid2.4,Schakel die {0} voor me uit!
# {1} will be insult plural, i.e. clowns
cut.ass.mid2.5,{0}. Ik haat die {1} zo erg.

# These cannot be deleted, if you can't come up with something unique, just repeat some 
# Singular forms
cut.ass.target1.1,Hipster
cut.ass.target1.2,Dombo
cut.ass.target1.3,Clown
cut.ass.target1.4,Streamer
cut.ass.target1.5,Facebooker
cut.ass.target1.6,YouTuber
cut.ass.target1.7,Activist
cut.ass.target1.8,Advocaat
cut.ass.target1.9,Leugenaar
cut.ass.target1.10,Vijand van SOFACT
cut.ass.target1.11,Journalist
cut.ass.target1.12,Rebel
cut.ass.target1.13,Misgunneer

# These cannot be deleted, if you can't come up with something unique, just repeat some 
# Plural forms
cut.ass.target2.1,Hipsters
cut.ass.target2.2,Dombos
cut.ass.target2.3,Clowns
cut.ass.target2.4,Streamers
cut.ass.target2.5,Facebookers
cut.ass.target2.6,YouTubers
cut.ass.target2.7,Activisten
cut.ass.target2.8,Advocaten
cut.ass.target2.9,Leugenaars
cut.ass.target2.10,Vijanden van SOFACT
cut.ass.target2.11,Journalisten
cut.ass.target2.12,Rebellen
cut.ass.target2.13,Misgunners

# Full sentence will look like: Somebody [messed with] somebody
cut.ass.did.1,was aan het prutsen met
cut.ass.did.2,was aan het worstelen met
cut.ass.did.3,was aan het kloten met
cut.ass.did.4,nam selfies met
# If in your language "messed with me" and "stole from me" have different ways of saying, 
# just create something that will look like ones above instead!
cut.ass.did.5,steelde iets van

# Full sentence will look like: Somebody did something with [me]
# part from above will be used, try to make them compatible
cut.ass.harmed.1,mij
cut.ass.harmed.2,Iemand die jij niet hoeft te kennen
cut.ass.harmed.3,een belangrijk persoon
cut.ass.harmed.4,President van SOFACT
cut.ass.harmed.5,De Raad van Bestuur
cut.ass.harmed.6,SOFACT
cut.ass.harmed.7,Met Vriendelijke Groet
cut.ass.harmed.8,een vriend van mij
cut.ass.harmed.9,een goede vriend
cut.ass.harmed.10,een familielid
cut.ass.harmed.11,de verkeerde persoon
cut.ass.harmed.12,de foute groeperingen
cut.ass.harmed.13,onze affiliatie social media beinvloeder

# Additional circumstance for singular target. Will be attached to the end of sentence.
cut.ass.andwhat1.1,en dacht dat die er mee weg kon komen.
cut.ass.andwhat1.2,en je gelooft niet wat die daarna onder de douche deed!
cut.ass.andwhat1.3,en heeft wat, euhm, gevoelige informatie gelekt.
cut.ass.andwhat1.4,en heeft zelfs nooit excuses gemaakt!
cut.ass.andwhat1.5,en dacht dat niemand het door zou hebben.
cut.ass.andwhat1.6,alsof er geen morgen was.
# {0} - insult singular (clown)
cut.ass.andwhat1.7,En toen zei die "wat zeg je daarvan, {0}?"...

# Additional circumstance for plural target. Will be attached to the end of sentence.
cut.ass.andwhat2.1,en dachten dat ze er mee weg konden komen.
cut.ass.andwhat2.2,en je wil niet geloven wat ze daarna onder de douche deden!
# the rest of andwhat2 is used directly from andwhat1

cut.ass.tip,Je kan foto modus gebruiken om je doelwitten to lokaliseren en je aanslagen te plennen.

### Hit Objects Cutscene

cut.hitobj.intro.racer.1,Ik weet dat je goed kan rijden, dus ik ga een kleine weddenschap aan.
cut.hitobj.intro.racer.2,De VP van Diversiteit vroeg om een gunst, En ik ga de beloning met je delen als je me helpt, oke?
cut.hitobj.intro.racer.3,Ik ben onder de indruk van je rijvaardigheid, Ik wil je graag een uitdaging voorstellen.
cut.hitobj.intro.racer.4,Alleen racen is saai, dus laten we een weddenschap afsluiten.
cut.hitobj.intro.racer.5,Ben je klaar voor een extra uitdaging?
cut.hitobj.intro.racer.6,Help me aub, Ik kan dit niet alleen.

cut.hitobj.intro.gov.pos.1,Onze kijkers houden ervan wanneer spul wordt overgereden, dus dit is wat je moet doen.
cut.hitobj.intro.gov.pos.2,Ik heb een weddenschap afgesloten met iemand die zei dat je het niet kon doen, dus bewijs dat die er naast zit.
cut.hitobj.intro.gov.pos.3,Ik ben vandaag in een slecht humeur, en niks zou me meer opvrolijken dan wat vliegende voorwerpen.
cut.hitobj.intro.gov.pos.4,De schoonmaakploeg voert hun werk niet goed uit, dus ik heb een plan om ze harder te laten werken.
cut.hitobj.intro.gov.pos.5,Ik heb een leuke uitdaging voor jouw mijn vriend.

# {0} insult plural (clowns), {1} - curse adverb (friggin time)
cut.hitobj.intro.gov.neg.1,Luister, Ik ben klaar met jullie {0} en jullie {1} roekeloze rijgedrag.
cut.hitobj.intro.gov.neg.2,Er is een tekort aan voorraad de laatste tijd, Dus ik wil het je vriendelijk vragen.
# {0} insult plural (clowns)
cut.hitobj.intro.gov.neg.3,Ik ben in de stemming voor orde vandaag, Alles moet op zijn plaats blijven staan. Dus je gaat maar eens fatsoenlijk rijden, {0}!

# {0} will be a noun (i.e: cone)
cut.hitobj.req.negative.1,raak geen enkele {0}
# {0} is a number and {1} is a plural noun (cones)
cut.hitobj.req.negative.2,raak niet meer dan {0} {1}
# {0} is a number and {1} is a plural noun (cones)
cut.hitobj.req.positive,raak {0} {1}
# I.e. Porta Potties Hit, or John Smith hit
cur.hitobj.req.progress,{0} Geraakt

# Will be used in "Hit 1 cone", or "Do not hit a single cone"
cut.hitobj.o.traffic_cone,Verkeers Pion
cut.hitobj.o.porta_potty,Dixie
cut.hitobj.o.bush,Bosje
cut.hitobj.o.pedestrian,Voetganger
cut.hitobj.o.snowman,Sneewpop

# Will be used in "Hit 2 cones", or "Do not hit more than 2 cones"
cut.hitobj.o.traffic_cones,Verkeers Pionnen
cut.hitobj.o.porta_potties,Dixies
cut.hitobj.o.bushes,Bosjes
cut.hitobj.o.pedestrians,Voetgangers
cut.hitobj.o.snowmen,Sneeuwpoppen

cut.hitobj.tip.neg,Vermijn het aanrijden van gemarkeerde objecten ten koste van alles.
cut.hitobj.tip.pos,Kijk uit voor gemarkeerde objecten.

# Reward short names
# 12 PTS (short for points, use same as in terms)
cut.rew.short.pts,{0} Ptn
cut.rew.short.next_car,Volgende Auto
cut.rew.short.aero,Aero +1
cut.rew.short.engine,Motor +1
cut.rew.short.gears,Bak +1
cut.rew.short.turbo,Turbo +1
cut.rew.short.grip,Grip +1

# Punishment short names
# -12 PTS (short for points, use same as in terms)
cut.pun.short.pts,-{0} Ptn
cut.pun.short.lose_car,Verlies Auto
cut.pun.short.aero,Aero -1
cut.pun.short.engine,Motor -1
cut.pun.short.gears,Bak -1
cut.pun.short.turbo,Turbo -1
cut.pun.short.grip,Grip -1

# Will be used in mid sentence, like: "Hit 4 cones while driting"
cut.while_drifting,in een drift

cut.short.full_throttle,Uitdaging: Vol Gas
cut.short.tiny_car,Uitdaging: Kleine Auto
cut.short.huge_car,Uitdaging: Grote Auto
cut.short.inv_steer,Uitdaging: Omgekeerd Stuur
cut.short.shield,Uitdaging: Krachtveld
cut.short.weaponize,Uitdaging: Wapens Toegestaan

# Will be used in sentence like "Assasinate John Smith"
cut.assassinate.1,Vermoord {0} 
# Will be used in sentence like "Assasinate 3 Hipsters"
cut.assassinate.2,Vermoord {0} {1}
# Will be used in end of sentence like "Hipsters assasinated", or "John Smith assasinated"
cut.assassinated,{0} Vermoord

### Car Prank mission cutscene

cut.prank.gov.laugh.1,*Komt niet meer bij van het lachen*
# {0} - curse word (crap)
cut.prank.gov.laugh.2,Ha ha! {0}
# {0} - curse word (crap)
cut.prank.gov.laugh.3,{0}, wat doen ze me aan!
cut.prank.gov.laugh.4,*giegelt*
cut.prank.gov.laugh.5,*probeert lach in te houden*
cut.prank.gov.laugh.6,*grijnst*

cut.prank.player.react.1,Ik moet toegeven, dit gelach is aanstekelijk.
# {0} - curse adverb (friggin)
cut.prank.player.react.2,Wat is er zo {0} grappig?
# {0} will be a government agent name
cut.prank.player.react.3,Ik heb een gevoel dat dit niet zo grappig zal wezen voor mij, heb ik gelijk, {0}?
# {0} will be a government agent name
cut.prank.player.react.4,Oke {0}. Maar wat is de grap dan?
cut.prank.player.react.5,Laatste keer dat ik dit gelach hoorde was het helemaal niet zo grappig voor mij
cut.prank.player.react.6,Waarom heb ik hier een slecht gevoel bij?

# {0} - curse adverb (friggin)
cut.prank.player.react2.1,Je moet me wel voor de gek houden.
cut.prank.player.react2.2,WAT?!
# {0} - plural insult (clowns)
cut.prank.player.react2.3,Wie waren het? Ik wil namen! Die {0} zullen boeten!
# {0} - curse word (crap)
cut.prank.player.react2.4,Oh {0}...
# {0} - curse word (crap)
cut.prank.player.react2.5,{0}...
cut.prank.player.react2.6,{0}!
# {0} and {1} - curse word (crap)
cut.prank.player.react2.7,{0}...
cut.prank.player.react2.8,{0}, {1}.
cut.prank.player.react2.9,Kom maar op!
# {0} - car model
cut.prank.player.react2.10,En ik heb mijn {0} net opnieuw in de lak laten zetten...
# When player has no car, he will say "And I just repainted my sneakers"
cut.prank.player.react2.10_2,sneakers

# {0} - curse word (crap)
cut.prank.tiny_car.1,Je gelooft nooit wat er is gebeurt! Je auto! {0}! Ze hebben een grap uitgehaald en nu is die gekrompen. Je zult hem met een joystick moeten besturen want ik denk niet dat je er nog in past, Hilarisch!
# {0} - random laughter from above
cut.prank.tiny_car.2,Iemand in het lab heeft de krimpstraal op je auto uitgeprobeert. Geen zorgen, hier heb je een controller, Je kunt hem nog steeds besturen, Maar het zal niet makkelijk zijn. {0}.
cut.prank.tiny_car.3,Heb je Een Luizenleven ook gezien? Nu zul je het moeten ervaren!
cut.prank.tiny_car.4,Ik snap dat het niet erg logisch is, Maar er is een ongeluk gebeurt in de garage, Een krimpstraal vuurde in de verkeerde righting en heeft je auto geraakt, Hier heb je een controller, om je auto te besturen.

cut.prank.tiny_car.descr,Voltooi de race met een verkleinde auto
cut.prank.tiny_car.tip,Je past nu tussen kieren waar je normaal niet tussen zou passen

# {0} - curse word (crap)
cut.prank.huge_car.1,Je gaat me nooit geloven! Je auto! {0}! Ze hebben hem vergroot. Laten we maar hopen dat je een overmaatse robot kan vinden die je kan besturen.
# {0} - random laughter from above
cut.prank.huge_car.2,Iemand in het lab teste de materie dichtheid aanpassings straal op jouw auto, Maar geen zorgen, je kunt hem nog steeds op afstand besturen. {0}
cut.prank.huge_car.3,Heb je die oude Godzilla films gezien? Natuurlijk, Jij komt uit die oude tijd. In ieder geval, Je auto is nu gigantisch. Ik zie je later wel.
cut.prank.huge_car.4,Ik snap dat het niet erg logisch is, maar er is een ongeluk gebeurt in de garage, Een materie dichtheids aanpasser straal heeft je auto geraakt, je hebt geluk dat het niet je gezicht was, Hier heb je een afstandsbediening, zodat je hem kunt besturen.

cut.prank.huge_car.descr,Voltooi de race met een gigantische auto
cut.prank.huge_car.tip,Meer Massa betekent meer schade aan andere autos

# {0} - crap, {1} - some item (bacon burger)
cut.prank.full_throttle.1,Je gaat nooit geloven wat er is gebeurt! Je auto! {0}! Ze hebben een {1} in je gashendel gestopt. Ik ga me doodlachen om jouw die auto te zien besturen!
# {0} - crap, {1} - some item (bacon burger)
cut.prank.full_throttle.2,{0}! Deze idioten hebben weer met je auto lopen prutsen! Deze keer hebben ze een {1} in je gashendel gestopt. Ik ga me doodlachen om jouw die auto te zien besturen!
# {0} - clowns, {1} - bacon burger
cut.prank.full_throttle.3,Je gelooft nooit wat er is gebeurt, deze {0} hebben een {1} in je gashendel gestopt. Ik ga me doodlachen om jouw die auto te zien besturen!
# {0} - clowns, {1} - bacon burger
cut.prank.full_throttle.4,Dit is ongelofelijk! {0}! Ze hebben een {1} in je gashendel gestopt. Ik ga me doodlachen om jouw die auto te zien besturen!
cut.prank.full_throttle.5,Niet boos worden, maar we hadden een stagiere die wat aan je auto heeft lopen prutsen, er kunnen wat draadjes verkeerd aangesloten zijn. Test je remmen. *Probeert lach in te houden*

cut.prank.full_throttle.descr,Voltooi de race terwijl je gas vast zit op 100%
cut.prank.full_throttle.tip,Concentreer op het sturen en vermijd objecten

# {0} - crap
cut.prank.inv_steer.1,Je gelooft nooit wat er is gebeurt! Je auto! {0}! Ze hebben de stuurrichting omgedraaid. Hahah, Ik ga persoonlijk kijken hoe je het doet!
cut.prank.inv_steer.2,We hebben een stagiere aan je auto laten werken, en hij heeft misschien wat draden verkeerd aangesloten, de besturing kan wat raar aanvoelen. *Probeert lach in te houden*

cut.prank.inv_steer.descr,Voltooi de race met een omgekeerde stuurrichting
cut.prank.inv_steer.tip,Als je enkel de controller op de kop beet kon houden

### Finish Xth 

cut.fin_x.req.top,Je moet eindigen in de top {0}.
cut.fin_x.req.bottom,Je moet eindigen op plaats {0} of lager.

# {0} - player name or title
cut.fin_x.racer.intro.1,Hey {0}! Een machtige vriend van mij heeft wat duistere weddenschappen afgelegd, om een lang verhaal kort te maken, ze bedreigen ons om met de race te knoeien.
# {0} - player name or title
cut.fin_x.racer.intro.2,{0}, wacht. De VP van Diversiteit bedreigt ons allemaal om in specifieke posities te eindigen. Niks persoonlijks, ik wou het gewoon laten weten.

cut.fin_x.gov.intro.1,Ik heb wat weddenschappen afgesloten op de volgende race, en ik wil graag dat jij me gaat helpen.
cut.fin_x.gov.intro.2,Wil je graag nog wat langer in leven blijven? Dan zou ik dit niet verprutsen als ik jouw was.
cut.fin_x.gov.intro.3,Ik heb niet veel tijd. De volgende race is opgetuigd, vraag niet waarom. Doe gewoon wat je moet doen.

cut.fin_x.tip,Houd een oogje op je positie in de rechterbovenhoek

cut.fin_x.descr1,Eindig in de top {0}
cut.fin_x.descr2,Eindig {0} of lager

### Take Damage 

# {0} - a number
cut.dmg.req,Ontvang tenminste {0} schade aan je auto.

cut.dmg.racer.intro.1,Ik weet dat jij degene was die mijn banden heeft lekgestoken vannacht! Ik kijk het door de vingers als je mijn uitdaging accepteert. Misschien krijg je er ook nog wel wat voor als je niet faalt.

# {0} - friggin
cut.dmg.gov.intro.1,Precies de persoon naar wie ik op zoek was! We moeten een nieuwe poster maken voor Bloody Rally Show, en jouw auto lijkt me perfect voor dit! Maar er is wel een voorwaarde, Het moet wel een goede {0} actiefoto wezen.
cut.dmg.gov.intro.2,Ik zie dat je een gloednieuwe laklaag op je auto hebt, Netjes, netjes, Nu, je volgende uitdaging... *grijnst*
# {0} - player name or title
cut.dmg.gov.intro.3,Ik heb je nooit gemogen {0}. Daarom heb ik deze uitdaging voor je bedacht.

cut.dmg.stay_alive.1,En probeer in leven te blijven
# {0} - clown
cut.dmg.stay_alive.2,En probeer niet dood te gaan, {0}

cut.dmg.tip,Het aanrijden van obstakels of explosieven is de snelste manier om schade te ontvangen

cut.dmg.descr,Neem {0} schade
cut.dmg.progress,Schade ontvangen

### Stay on track

# {0} - brace stone character's name
cut.on_track.racer.intro.1,Ik heb een weddenschap met {0}, Hij zei dat er geen mogelijkheid is dat je de race kunt voltooien zonder van het circuit af te gaan. Ik zal veel geld verliezen als je dit toch doet, dus rijd voorzichtig!

# {0} - some racer name
cut.on_track.gov.intro.1,Ik heb een weddenschap afgesloten met {0}, er wordt gezegd dat je niet op het circuit kunt blijven, Ik ben het wel eens, Maar ik heb geluk vandaag, Dus ik heb een half miljoen ingezet op je reet. Laat me niet in de steek!
# {0} - Clowns
cut.on_track.gov.intro.2,Onze hoveniers zijn de hele dag hard bezig geweest met bloemen planten en jij blijft ze {0} maar verpesten! Blijf op het circuit deze keer!

cut.on_track.descr,Ga niet van het circuit af voor meer dan {0} seconden per keer
cut.on_track.tip,Doe rustig aan in de bochten, en alles zal goedkomen!

### Be a pedestrian 

cut.ped.req.1,Oh, terwijl je rustig wat rondloopt, neem wat mooie close up actie fotos voor mij.
# {0} - a number
cut.ped.req.2,Oh, terwijl je rustig wat rondloopt, neem {0} mooie close up actie fotos voor mij.

# {0} - clown, {1} - vegan olive oil, {2} - fool
cut.ped.racer.intro.1,Raad eens {0}. Ik ben er eindelijk achter wie er door mijn dakraam heeft gescheten, En nu is het tijd voor wraak. Ik heb {1} in je tank gegoten, Dus alles moet doorgespoelt worden. Jammer dat het niet in tijd kan voor de volgende race, {2}!

# {0} - vegan olive oil
cut.ped.gov.intro.1,Niet boos op mij worden voor dit, maar de situatie is als volgt. We hebben een film voor volwassenen opgenomen in je auto want deze had precies genoeg ruimte voor 5 mensen en een cameraman, Ze hebben ook een rommel gemaakt met {0}, Maar geen zorgen we zullen het voor je schoonmaken na de race!
cut.ped.gov.intro.2,Dus, je dacht dat je de grote man aan kon pakken, heh? Denk nogmaals. Jij zal een voetganger wezen voor de komende dagen, want we nemen je auto in beslag, Je onthoud dit maar voor de volgende keer!
# {0} - clown
