######################################
# Bloody Rally Show translations file 
# Locale: Spanish
# Author: Google Translate
# Contact: help@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Piedra de refuerzo
cut.rew.gov.grip,le daremos neumáticos nuevos para mejorar su GRIP
cut.rew.gov.none,¡no obtendrás absolutamente nada! Jajaja

# Rewards told by other racer. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
# {0} will be a number
cut.rew.racer.cash.1,mi fondo de día lluvioso de $ {0} será tuyo
cut.rew.racer.cash.2,Te daré cupones de alimentos por valor de $ {0}
cut.rew.racer.cash.3,Daré el contenido de mis bolsillos. Debe ser alrededor de $ {0}
cut.rew.racer.cash.4,Pediré prestado $ {0} del banco para pagarle
cut.rew.racer.cash.5,Le daré $ {0}
cut.rew.racer.car,Te dejaré tener mi auto nuevo
cut.rew.racer.pts,Tengo un amigo que manipulará las estadísticas, obtendrás {0} puntos extra por esta carrera
cut.rew.racer.rnd,Haré que valga la pena
cut.rew.racer.aero,Tengo una idea de cómo actualizar su AERO con un poco de cinta adhesiva y WD-40
cut.rew.racer.turbo,Puliré tu TURBO
cut.rew.racer.engine,Cambiaré tu MOTOR por uno más poderoso
cut.rew.racer.gears,Instalaré una palanca de cambios corta para tus ENGRANAJES
cut.rew.racer.grip,Cambiaré mis llantas nuevas contigo para que puedas agarrar mejor
cut.rew.racer.none,¡no obtendrás absolutamente nada! Jajaja

# Punishments told by government agent. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
cut.punish.gov.cash.1,perderás $ {0}
cut.punish.gov.cash.2,tendrá que pagarnos $ {0}
cut.punish.gov.cash.3,su seguro de automóvil aumentará en $ {0}
cut.punish.gov.cash.4,Tomaré $ {0} de su cuenta bancaria
cut.punish.gov.cash.5,tendrás que pagar $ {0} por 100 diamantes en este nuevo juego móvil que acabo de descargar
cut.punish.gov.car,Personalmente volaré tu auto en pedazos pequeños con un cañón peatonal. Ningún mecánico logrará volver a armarlo
cut.punish.gov.pts,Ejecutaré esta consulta de base de datos que te hará perder {0} puntos
cut.punish.gov.rnd,Haré algo tan desagradable que tendrán que cubrirlo como noticias de última hora, y créanme, su foto estará allí
cut.punish.gov.aero,Le pediré a los mecánicos que peguen {0} en su parrilla para degradar su AERO
cut.punish.gov.turbo,Personalmente pegaré {0} en tu TURBO
cut.punish.gov.engine,eliminaremos un par de partes aleatorias de su MOTOR
cut.punish.gov.gears,reemplazaremos el líquido de su caja de cambios con {0} para degradar sus ENGRANAJES
cut.punish.gov.grip,Le pediré a un mecánico que frote {0} en sus neumáticos para ensuciar su GRIP
cut.punish.gov.none,no pasará nada malo

# Punishments told by other racer. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
cut.punish.racer.cash.1,tendrá que comprar $ {0} por valor de riesgo de TSLA pone en corto
cut.punish.racer.cash.2,deberás pagarme $ {0}
cut.punish.racer.cash.3,tendrás que darme $ {0} o ese reloj Casio genial que llevas puesto
cut.punish.racer.cash.4,Drenaré $ {0} de combustible de su automóvil
cut.punish.racer.cash.5,Tendrás que comprarme 500 gemas en este nuevo juego móvil que acabo de descargar. Con un 75% de descuento que le costará solo $ {0}
# "Lionard 125" should not be translated, it's a model name of cheapest car in the game
cut.punish.racer.car,Tendremos que cambiar coches. Actualmente estoy conduciendo una paliza Lionard 125, el depósito de chatarra local sigue preguntando al respecto
cut.punish.racer.pts,Tengo un amigo hacker que borrará {0} puntos de tu puntaje
cut.punish.racer.rnd,Giraré una rueda de la desgracia y elegiré algo desagradable al azar para ti o tu auto
cut.punish.racer.aero,Pondré {0} en tu parrilla para degradar tu AERO
cut.punish.racer.turbo,Pegaré {0} en tu TURBO
cut.punish.racer.engine,Llenaré tu MOTOR con {0}
cut.punish.racer.gears,Reemplazaré el líquido de su caja de cambios con {0} para degradar sus ENGRANAJES
cut.punish.racer.grip,Frotaré {0} sobre tus neumáticos para ensuciar tu GRIP
cut.punish.racer.none,no pasará nada malo

### Shield mission cutscene

cut.shield.req,Aquí hay un campo de fuerza y algunas baterías adicionales para él. Me lo puedes agradecer después.
cut.shield.intro.1,Veo que no te va bien esta temporada. Decidimos ayudarte un poco esta próxima carrera.
# {0} will be a plural insult
cut.shield.intro.2,Parece que los otros {0} te intimidan todo el tiempo. Aquí hay algo para igualar las probabilidades.

cut.shield.descr,Completa la carrera equipada con un campo de fuerza
cut.shield.tip,Recuerda la tercera ley de Newton

### Make car come last

# {0} - clown
cut.finlast.req,Te daré un arma y marcaré el auto objetivo en tu HUD. ¡Haz que {0} pague!

# {0} - player name, {1} - vegan burger
cut.finlast.racer.intro.1,¡Hola, {0}! Tengo que pedirte un favor. ¡Uno de los corredores metió un {1} en mi tubo de escape anoche, y quiero venganza!
# {0} - player name, {1} - vegan olive oil
cut.finlast.racer.intro.2,{0}, espera. Necesito algo de ayuda. ¡Uno de los corredores frotó {1} por todo mi volante, y quiero venganza!

# {0} - vegan olive oil
cut.finlast.gov.intro.1,No lo creerías. ¡Uno de esos amigos payasos tuyos entró a escondidas en mi oficina anoche y frotó algunos {0} en mi teclado! Quiero que les muestres lo que sucede cuando te metas con SOFACT.
# {0} - clown
cut.finlast.gov.intro.2,Escucha, hay una {0} que realmente no me gusta. Hagamos de su vida un infierno vivir juntos.

cut.finlast.tip,El auto objetivo será marcado

# {0} - name, {1} - position number
cut.finlast.descr,Asegúrese de que {0} termine {1} o menos

### Assassinate mission cutscene (the most complex one)

# {0} is a singular noun defining a person
# {1} is part of sentence telling what the person did
# {2} is the second part telling what the person did
# {3} is the third part with circumstances
cut.ass.beg1.1,Hay {0} quién {1} {2}, {3}
cut.ass.beg1.2,¿Cómo debería poner esto suavemente? A {0} {1} {2}, {3}
cut.ass.beg1.3,Déjame aclarar esto. {0} {1} {2}, {3}

# Same as beg1, but for 2 people
cut.ass.beg2.1,Un par de {0} {1} {2}, {3}
cut.ass.beg2.2,¿Cómo debería poner esto suavemente? Dos {0} {1} {2}, {3}

# Same as beg1 & beg2, but for 3+ people
cut.ass.beg3.1,Hay un montón de {0} {1} {2}, {3}
cut.ass.beg3.2,¿Cómo debería poner esto suavemente? Un montón de {0} {1} {2}, {3}

# Endings for singular target
cut.ass.end1.1,Encontrarás detalles de su ubicación en tu computadora a bordo cuando comiences la carrera.
# {0} - singular insult (i.e. clown)
cut.ass.end1.2,Deshazte de eso {0} por mí, ¿quieres?
cut.ass.end1.3,Haz que revise tu tren de aterrizaje.
cut.ass.end1.4,Hazlo ir * splat *, ¿de acuerdo?
cut.ass.end1.5,Envíalo volando.
# {0} - singular insult (i.e. clown)
cut.ass.end1.6,Quiero que {0} se lleve en una camilla.
cut.ass.end1.7,Dale un paseo gratis en tu capucha.
cut.ass.end1.8,Entiendes lo que quiero, ¿verdad?

# Endings for two targets
cut.ass.end2.1,Encontrarás detalles de su ubicación en tu computadora a bordo cuando comiences la carrera.
# {0} - plural insult (i.e. clowns)
cut.ass.end2.2,Deshazte de esos dos {0} por mí, ¿quieres?
cut.ass.end2.3,Haz que revisen tu tren de aterrizaje.
cut.ass.end2.4,Hazlos ir * splat *, ¿de acuerdo?
cut.ass.end2.5,Envíalos volando.
# {0} - curse adjective (i.e. friggin stretcher)
cut.ass.end2.6,Quiero que los dos se lleven en una camilla {0}.
cut.ass.end2.7,Déles un paseo gratis en su capucha.

# Endings for three+ targets
# end3.1 is used as end2.1
# {0} - plural insult (i.e. clowns)
cut.ass.end3.2,Deshazte de todos esos {0} para mí, ¿quieres?
# {0} - plural insult (i.e. clowns)
cut.ass.end3.3,Encuéntralos a todos y haz que {0} comprueben tu tren de aterrizaje.
# {0} - plural insult (i.e. clowns)
cut.ass.end3.4,Haz todos esos {0} go * splat *, ¿de acuerdo?
# end3.5 is used as end2.5
# {0} - plural insult (clowns) {1} - curse adjective (i.e. friggin stretcher)
cut.ass.end3.6,Quiero que todos esos {0} se lleven en una camilla {1}.
# {0} - plural insult (i.e. clowns)
cut.ass.end3.7,Dé a todos esos {0} un viaje gratis en su capucha.

# Mid sentences for 1 target
# {0} is some randomized person name
cut.ass.mid1.1,Se llama {0}.
# {0} is some randomized person name (repeated twice in this sentence), {1} - curse adjective
# Example: John Smith. Friggin John Smith.
cut.ass.mid1.2,{0}. {1} {0}.
cut.ass.mid1.3,Él es {0}.
# {1} will be insult singular, i.e. clown
cut.ass.mid1.4,Encontramos que {1}, él es {0}.
# {1} will be insult singular, i.e. clown
cut.ass.mid1.5,{0}. Odio eso {1} tanto.

# Mid sentences for 2+ targets
# {0} will be plural insult (clowns), {1} will be a curse adjective (friggin)
cut.ass.mid2.1,Sé quiénes son esos {1} {0}.
# {0} will be plural insult (clowns), {1} will be a curse adjective (friggin)
cut.ass.mid2.2,Esos {1} {0}.
cut.ass.mid2.3,{0}!
# {0} will be plural insult (clowns)
cut.ass.mid2.4,¡Trata con esos {0} por mí!
# {1} will be insult plural, i.e. clowns
cut.ass.mid2.5,{0}. Los odio mucho {1}.

# These cannot be deleted, if you can't come up with something unique, just repeat some
# Singular forms
cut.ass.target1.1,Hipster
cut.ass.target1.2,Cabrón
cut.ass.target1.3,Payaso
cut.ass.target1.4,Flámula
cut.ass.target1.5,Creador de contenido
cut.ass.target1.6,YouTuber
cut.ass.target1.7,Influencia
cut.ass.target1.8,Corredor
cut.ass.target1.9,Salvaje
cut.ass.target1.10,Enemigo de SOFACT
cut.ass.target1.11,Periodista
cut.ass.target1.12,Rebelde
cut.ass.target1.13,Misógino

# These cannot be deleted, if you can't come up with something unique, just repeat some
# Plural forms
cut.ass.target2.1,Hipsters
cut.ass.target2.2,Dumbasses
cut.ass.target2.3,Payasos
cut.ass.target2.4,Serpentinas
cut.ass.target2.5,Creadores de contenido
cut.ass.target2.6,YouTubers
cut.ass.target2.7,Influenciadores
cut.ass.target2.8,Corredores
cut.ass.target2.9,Mentirosos
cut.ass.target2.10,Enemigos de SOFACT
cut.ass.target2.11,Periodistas
cut.ass.target2.12,Rebeldes
cut.ass.target2.13,Misóginos

# Full sentence will look like: Somebody [messed with] somebody
cut.ass.did.1,metido con
cut.ass.did.2,jugado con
cut.ass.did.3,atornillado con
cut.ass.did.4,tomó selfies con
# If in your language "messed with me" and "stole from me" have different ways of saying,
# just create something that will look like ones above instead!
cut.ass.did.5,robó algo de

# Full sentence will look like: Somebody did something with [me]
# part from above will be used, try to make them compatible
cut.ass.harmed.1,yo
cut.ass.harmed.2,un chico del que no necesitas saber
cut.ass.harmed.3,alguien importante
cut.ass.harmed.4,Presidente de SOFACT
cut.ass.harmed.5,La Junta Directiva
cut.ass.harmed.6,SOFACTO
cut.ass.harmed.7,Atentamente
cut.ass.harmed.8,amigo mío
cut.ass.harmed.9,un querido amigo
cut.ass.harmed.10,un pariente
cut.ass.harmed.11,el chico equivocado
cut.ass.harmed.12,los tipos equivocados
cut.ass.harmed.13,nuestro influenciador de redes sociales afiliado

# Additional circumstance for singular target. Will be attached to the end of sentence.
cut.ass.andwhat1.1,y pensó que podría salirse con la suya.
cut.ass.andwhat1.2,¡y no creerías lo que hizo en la ducha después!
cut.ass.andwhat1.3,y filtró algo, ehm ... Información sensible.
cut.ass.andwhat1.4,y ni siquiera se disculpó!
cut.ass.andwhat1.5,y pensé que nadie se daría cuenta.
cut.ass.andwhat1.6,como si no hubiera un mañana.
# {0} - insult singular (clown)
cut.ass.andwhat1.7,y luego dijo "¿Qué te parece, {0}?" ...

# Additional circumstance for plural target. Will be attached to the end of sentence.
cut.ass.andwhat2.1,y pensé que podrían salirse con la suya.
cut.ass.andwhat2.2,¡y no creerías lo que hicieron en la ducha después!
# the rest of andwhat2 is used directly from andwhat1

cut.ass.tip,Puedes usar el Modo Foto para encontrar objetivos y planificar tus golpes

### Hit Objects Cutscene

cut.hitobj.intro.racer.1,Sé que no puedes conducir bien, así que voy a hacer una pequeña apuesta.
cut.hitobj.intro.racer.2,El vicepresidente de diversidad pidió un favor, y voy a dividir la recompensa en efectivo si me ayudas, ¿de acuerdo?
cut.hitobj.intro.racer.3,Me ha impresionado su forma de conducir y quiero ofrecerle un desafío.
cut.hitobj.intro.racer.4,Es aburrido solo correr, así que apuestemos.
cut.hitobj.intro.racer.5,¿Estás preparado para un desafío extra?
cut.hitobj.intro.racer.6,Ayúdame, no puedo hacer esto solo.

cut.hitobj.intro.gov.pos.1,A nuestros espectadores les encanta cuando las cosas se vuelcan, así que esto es lo que tienes que hacer.
cut.hitobj.intro.gov.pos.2,Hice una apuesta con alguien que dijo que no podías hacerlo. Demuestra que está equivocado.
cut.hitobj.intro.gov.pos.3,Estoy de mal humor, y nada me haría sentir mejor que ver algunas cosas volando.
cut.hitobj.intro.gov.pos.4,Nuestro servicio de limpieza de calles no nos está cobrando nada, así que tengo un plan para hacer que trabajen más.
cut.hitobj.intro.gov.pos.5,Tengo un desafío divertido para ti, mi amigo.

# {0} insult plural (clowns)
cut.hitobj.intro.gov.neg.1,Escucha, estoy harto de ti {0} conduciendo descuidadamente todo el tiempo.
cut.hitobj.intro.gov.neg.2,Ha habido una escasez de recursos últimamente, así que quiero preguntarle amablemente.
# {0} insult plural (clowns)
cut.hitobj.intro.gov.neg.3,Estoy de humor para ordenar hoy. Todo debe permanecer en su lugar. ¡Es mejor que conduzcas con cuidado!

# {0} will be a noun (i.e: cone)
cut.hitobj.req.negative.1,No golpee un solo {0}
# {0} is a number and {1} is a plural noun (cones)
cut.hitobj.req.negative.2,No golpee más de {0} {1}
# {0} is a number and {1} is a plural noun (cones)
cut.hitobj.req.positive,Hit {0} {1}
# I.e. Porta Potties Hit, or John Smith hit
cur.hitobj.req.progress,{0} golpe

# Will be used in "Hit 1 cone", or "Do not hit a single cone"
cut.hitobj.o.traffic_cone,Cono de tráfico
cut.hitobj.o.porta_potty,Traer orinal
cut.hitobj.o.bush,Arbusto
cut.hitobj.o.pedestrian,Peatonal
cut.hitobj.o.snowman,Monigote de nieve

# Will be used in "Hit 2 cones", or "Do not hit more than 2 cones"
cut.hitobj.o.traffic_cones,Conos de tráfico
cut.hitobj.o.porta_potties,Porta orinales
cut.hitobj.o.bushes,Arbustos
cut.hitobj.o.pedestrians,Los peatones
cut.hitobj.o.snowmen,Muñecos de nieve

cut.hitobj.tip.neg,Evite conducir a objetos marcados a cualquier costo
cut.hitobj.tip.pos,Busca objetos marcados

# Reward short names
# 12 PTS (short for points, use same as in terms)
cut.rew.short.pts,{0} Pts
cut.rew.short.next_car,Coche siguiente
cut.rew.short.aero,Aero +1
cut.rew.short.engine,Motor +1
cut.rew.short.gears,Engranajes +1
cut.rew.short.turbo,Turbo +1
cut.rew.short.grip,Agarre +1

# Punishment short names
# -12 PTS (short for points, use same as in terms)
cut.pun.short.pts,- {0} Ptos
cut.pun.short.lose_car,Perder coche
cut.pun.short.aero,Aero -1
cut.pun.short.engine,Motor -1
cut.pun.short.gears,Engranajes -1
cut.pun.short.turbo,Turbo -1
cut.pun.short.grip,Agarre -1

# Will be used in mid sentence, like: "Hit 4 cones while drifting"
cut.while_drifting,mientras va a la deriva

cut.short.full_throttle,Desafío: acelerador a fondo
cut.short.tiny_car,Desafío: coche pequeño
cut.short.huge_car,Desafío: coche enorme
cut.short.inv_steer,Desafío: dirección invertida
cut.short.shield,Desafío: campo de fuerza
cut.short.weaponize,Desafío: raza armada

# Will be used in sentence like "Assassinate John Smith"
cut.assassinate.1,Asesinar {0}
# Will be used in sentence like "Assassinate 3 Hipsters"
cut.assassinate.2,Asesinar {0} {1}
# Will be used in end of sentence like "Hipsters assassinated", or "John Smith assassinated"
cut.assassinated,{0} asesinado

### Car Prank mission cutscene

cut.prank.gov.laugh.1,*Riendo a carcajadas*
# {0} - curse word (crap)
cut.prank.gov.laugh.2,Ha ha! {0}
# {0} - curse word (crap)
cut.prank.gov.laugh.3,{0}, me están matando!
cut.prank.gov.laugh.4,* Risas *
cut.prank.gov.laugh.5,* Intenta contener la risa *
cut.prank.gov.laugh.6,* Risas *

cut.prank.player.react.1,Tengo que admitir que esta risa es contagiosa.

cut.prank.player.react.2,¿Qué es tan gracioso?
# {0} will be a government agent name
cut.prank.player.react.3,Tengo la sensación de que esto no va a ser tan divertido para mí, ¿estoy en lo cierto, {0}?
# {0} will be a government agent name
cut.prank.player.react.4,Ok, ahora dime la broma por favor, {0}.
cut.prank.player.react.5,La última vez que escuché esta risa no fue nada gracioso para mí.
cut.prank.player.react.6,¿Por qué tengo un mal presentimiento sobre esto?


cut.prank.player.react2.1,Tienes que estar bromeando.
cut.prank.player.react2.2,¡¿QUÉ?!
# {0} - plural insult (clowns)
cut.prank.player.react2.3,¿Quiénes eran? Quiero nombres! ¡{0} pagará!
# {0} - curse word (crap)
cut.prank.player.react2.4,Oh {0} ...
# {0} - curse word (crap)
cut.prank.player.react2.5,{0} ...
cut.prank.player.react2.6,{0}!
# {0} and {1} - curse word (crap)
cut.prank.player.react2.7,{0} ...
cut.prank.player.react2.8,{0}, {1}.
cut.prank.player.react2.9,¡Dale!
# {0} - car model
cut.prank.player.react2.10,Y acabo de pintar mi {0} ...
# When player has no car, he will say "And I just repainted my sneakers"
cut.prank.player.react2.10_2,zapatillas

# {0} - curse word (crap)
cut.prank.tiny_car.1,¡Nunca creerás lo que pasó! ¡Tu carro! {0}! Hicieron una broma y la redujeron. Tendrás que controlarlo con un joystick, porque tu trasero no encajará allí. ¡Divertidísimo!
# {0} - random laughter from above
cut.prank.tiny_car.2,Alguien en el laboratorio probó el rayo retráctil en su automóvil. No se preocupe, aquí hay un control remoto, aún puede conducirlo, pero será difícil. {0}.
cut.prank.tiny_car.3,¿Has visto una vieja película llamada hormigas? Bueno, ¡tendrás que vivirlo!
cut.prank.tiny_car.4,Sé que no tendrá ningún sentido, pero hubo un accidente en el garaje. Rayo retráctil disparó en la dirección equivocada y su auto fue golpeado. Aquí hay un control remoto, úselo para controlar su pequeño automóvil.

cut.prank.tiny_car.descr,Completa la carrera con un auto pequeño
cut.prank.tiny_car.tip,Puedes atravesar huecos más pequeños que normalmente harías

# {0} - curse word (crap)
cut.prank.huge_car.1,¡Nunca creerás lo que pasó! ¡Tu carro! {0}! Lo agrandaron. OK {0}, ¡ahora es tu turno! Ah, lo sabemos, va a ser difícil conducir en esos pequeños carriles. ¡Divertidísimo!
# {0} - random laughter from above
cut.prank.huge_car.2,Alguien en el laboratorio probó el rayo de ajuste de densidad de materia en su automóvil. No se preocupe, aún puede controlarlo de forma remota. {0}
cut.prank.huge_car.3,¿Has visto esas viejas películas de Godzilla? Por supuesto que deberías, eres de aquellos tiempos antiguos. De todos modos, su auto se agrandó. Cuídate ahora.
cut.prank.huge_car.4,Sé que no tendrá ningún sentido, pero hubo un accidente en el garaje. El rayo de ajuste de la densidad de partículas se disparó en la dirección incorrecta y su automóvil fue golpeado. Tienes suerte de que no fuera tu cara. Aquí hay un control remoto, úselo para controlar su automóvil de gran tamaño.

cut.prank.huge_car.descr,Completa la carrera con coche ampliado
cut.prank.huge_car.tip,¡Un tamaño más grande significa más daño a otros autos!

# {0} - crap, {1} - some item (bacon burger)
cut.prank.full_throttle.1,¡Nunca creerás lo que pasó! ¡Tu carro! {0}! Han puesto {1} dentro de la válvula de mariposa. ¡Me reiré de mi trasero al verte conducir esa cosa!
# {0} - crap, {1} - some item (bacon burger)
cut.prank.full_throttle.2,{0}! ¡Esos idiotas volvieron a meterse con tu auto! Esta vez han puesto {1} dentro de la válvula de mariposa. Has escuchado esa historia sobre la liebre y la tortuga, ¿no? Jaja.
# {0} - clowns, {1} - bacon burger
cut.prank.full_throttle.3,¡Nunca creerás lo que pasó! Esos {0} han puesto {1} dentro de la válvula de mariposa. No tengo idea de cómo lograrás lograr esto. ¡Buena suerte!
# {0} - clowns, {1} - bacon burger
cut.prank.full_throttle.4,¡Es increíble! {0}! Han puesto {1} dentro de la válvula de mariposa. ¡Me reiré de mi trasero al verte conducir esa cosa!
cut.prank.full_throttle.5,No te enojes, pero teníamos un mecánico aprendiz trabajando en tu auto, y él podría haber cambiado algunos cables incorrectos. Pon a prueba tus frenos. * Intenta contener la risa *

cut.prank.full_throttle.descr,Completa la carrera con el acelerador atascado al 100%
cut.prank.full_throttle.tip,Concéntrese en la dirección y evite cualquier obstáculo.

# {0} - crap
cut.prank.inv_steer.1,¡Nunca creerás lo que pasó! ¡Tu carro! {0}! Han invertido la dirección. Jaja, ¡te vigilaré personalmente mientras conduces esa cosa!
cut.prank.inv_steer.2,Tuvimos un mecánico aprendiz trabajando en su automóvil, y él podría haber cambiado algunos cables incorrectos. Los controles pueden sentirse un poco extraños. * Intenta contener la risa *

cut.prank.inv_steer.descr,Completa la carrera con la dirección invertida
cut.prank.inv_steer.tip,Si pudieras usar el controlador al revés ...

### Finish Xth

cut.fin_x.req.top,Debes terminar en la parte superior {0}.
cut.fin_x.req.bottom,Debes terminar {0} o menos.

# {0} - player name or title
cut.fin_x.racer.intro.1,Yo {0}! Un poderoso amigo mío ha hecho algunas apuestas sombrías, y para resumir, nos están amenazando a todos a manipular la carrera.
# {0} - player name or title
cut.fin_x.racer.intro.2,{0}, espera. El Vicepresidente de Diversidad nos amenaza a todos para terminar en lugares predeterminados. Nada personal, solo quería que lo supieras.

cut.fin_x.gov.intro.1,Hice algunas apuestas personales en la próxima carrera, y quiero que me ayudes un poco.
cut.fin_x.gov.intro.2,¿Te gustaría seguir con vida un poco más? Entonces no arruines esto.
cut.fin_x.gov.intro.3,No tengo mucho tiempo La próxima carrera tiene que ser manipulada, no preguntes por qué, solo haz lo que tengas que hacer.

cut.fin_x.tip,Vigile su marcador de posición en la esquina superior derecha

cut.fin_x.descr1,Terminar en la parte superior {0}
cut.fin_x.descr2,Terminar {0} o menos

### Take Damage

# {0} - a number
cut.dmg.req,Tome al menos {0} daños en su automóvil.

cut.dmg.racer.intro.1,¡Sé que fuiste tú quien pinchó mis neumáticos anoche! Voy a dejarlo pasar si aceptas mi desafío. Incluso podría arrojar algo bueno si no fallas.

# {0} - friggin
cut.dmg.gov.intro.1,¡Justo la persona que quería ver! ¡Tenemos que hacer un nuevo póster para Bloody Rally Show, y su auto parece ser perfecto para esto! Pero solo hay una trampa, tiene que verse como "desde la acción {0}", si sabes a lo que me refiero.
cut.dmg.gov.intro.2,Veo que tienes un nuevo trabajo de pintura brillante. Bien bien. Ahora, tu próximo desafío ... * Risas *
# {0} - player name or title
cut.dmg.gov.intro.3,Nunca me gustaste, {0}. Por eso he pensado en este desagradable desafío.

cut.dmg.stay_alive.1,E intenta mantenerte vivo
# {0} - clown
cut.dmg.stay_alive.2,Y trata de no morir, {0}

cut.dmg.tip,Conducir contra obstáculos o explosivos es la forma más rápida de recibir daños.

cut.dmg.descr,Toma {0} daño
cut.dmg.progress,Daño recibido

### Stay on track

# {0} - brace stone character's name
cut.on_track.racer.intro.1,Hice una apuesta con {0}, dijo que no hay forma de que puedas terminar la carrera sin salir de la pista. Si lo haces, perderé una buena cantidad de dinero en efectivo, ¡así que maneja con mucho cuidado!

# {0} - some racer name
cut.on_track.gov.intro.1,Hice una apuesta con {0}, dice que no puedes mantenerte en el camino, tiendo a estar de acuerdo, pero qué demonios, me siento afortunado hoy, así que apuesto media milla a tu trasero. ¡No te atrevas a decepcionarme!
# {0} - Clowns
cut.on_track.gov.intro.2,Nuestros jardineros trabajan duro todo el día plantando flores, ¡y tú {0} las sigues arruinando! ¡Mantente en el camino esta vez!

cut.on_track.descr,No salga de la carretera por más de {0} segundos a la vez
cut.on_track.tip,Tómelo con calma en las esquinas, ¡y estará bien!

### Be a pedestrian

cut.ped.req.1,Ah, y mientras paseas a pie, toma una bonita foto de primer plano para mí.
# {0} - a number
cut.ped.req.2,Ah, y mientras paseas a pie, toma {0} fotos bonitas de primer plano para mí.

# {0} - clown, {1} - vegan olive oil, {2} - fool
cut.ped.racer.intro.1,Adivina qué {0}. Finalmente descubrí quién hizo un volcado a través de mi techo solar, y ahora es el momento de pagar. He vertido {1} en su tanque de gasolina, por lo que es posible que deba vaciar su sistema. ¡Lástima que no llegarás a esta carrera, {2}!

# {0} - vegan olive oil
cut.ped.gov.intro.1,No te enojes conmigo por esto, pero aquí está el trato. Estábamos filmando una película de entretenimiento para adultos, y el automóvil que preparó para esta etapa tenía espacio suficiente para 5 personas y un camarógrafo. También hicieron un desastre con {0}, pero no te preocupes, ¡lo limpiaremos después!
cut.ped.gov.intro.2,Entonces, pensaste que podrías derrotar al tipo grande, ¿eh? Piensa otra vez. Vas a ser un peatón durante los próximos días, y también tomaremos tu auto. ¡Mejor recuerda esto la próxima vez!
# {0} - clown
cut.ped.gov.intro.3,¿Creías que podrías salirte con la tuya, pequeño {0}? Su automóvil se quedará con nosotros durante las próximas carreras. ¡Hazlo de nuevo y te arrepentirás!
# {0} - clown
cut.ped.stay_alive.1,Y trata de mantenerte vivo, {0}.
# {0} - clown
cut.ped.stay_alive.2,Y trata de no morir, {0}.

cut.ped.descr,Participa en la carrera como peatón
cut.ped.tip,¡No te pares demasiado cerca de la pista!

# {0} - a number
cut.ped.descr1,Tome una foto de primer plano del automóvil
cut.ped.descr2,Tome {0} fotos de primer plano del automóvil
cut.ped.progress1,Foto tomada
# {0} - a number
cut.ped.progress2,{0} fotos del auto tomadas

### Your car stolen

cut.stolen.racer.intro.1,Escucha, hombre, tengo malas noticias para ti. Un payaso acaba de robarte el auto, lo vi alejarse. Espero que estuvieras asegurado. También tendrás que caminar a pie en la próxima carrera.

cut.stolen.gov.intro.1,¿Alguna vez has jugado un juego centenario llamado Grand Theft Auto? Bueno, alguien literalmente lo jugó con tu auto, así que parece que tendrás que ir a pie. Apesta ser tú si no tuvieras seguro.

cut.stolen.stay_alive.1,E intenta mantenerte vivo
cut.stolen.stay_alive.2,Y trata de no morir

cut.stolen.descr,Su coche fue robado
cut.stolen.tip,Mejor comience a ahorrar dinero para un auto nuevo

### Locked camera

# {0} - "do not change camera settings!"
cut.cam.req.1,Hagas lo que hagas, {0}.
cut.cam.req.2,Ven al infierno o a la marea alta, {0}.
cut.cam.req.3,Pase lo que pase, {0}.
cut.cam.req.4,Si tienes suficientes agallas, {0}.
cut.cam.req.5,Aquí hay una bolsa de vómito, {0}.
cut.cam.req.6,Abra su ventana si quiere vomitar, pero {0}.
cut.cam.req.end,no cambie la configuración de la cámara!

cut.cam.racer.intro.1,Aquí hay un nuevo desafío divertido para ti. Reconfiguraré tu dron de visión como no te gustará.
# {0} - clown
cut.cam.racer.intro.2,No pude dormir anoche, así que me metí con tu dron de visión. ¿Por qué? Porque eres {0}, ¡por eso!
# {0} - clown
cut.cam.racer.intro.3,¡Quiero desafiarte a jugar un juego conmigo! Ajusté nuestros drones de visión para estar en una posición incómoda. ¡El primero en rendirse es un {0}!

# {0} - clown
